,Latitude,Longitude,Absolute elevation,Distance from Coast,AP1,AP2,DT1,DT2,HTM,LTM,AC1,AC2,LC1,LC2,RFL,RH1,RH2,WSD
GANNAVARAM,16.53,80.8,24,56.41,1013.4,1009.6,22.3,27.5,32.5,15.4,2.1,2.3,0.9,1,0.8,81,55,6.3
GAYA,24.75,84.95,116,419.17,1004.2,1000.9,13.6,20.4,28,4.6,1.8,1.8,0.7,0.6,15.8,79,54,3.9
GAZIPUR,25.4,83.55,66.4,561.39,1010,1006.8,14.3,18.6,25.5,4,1.2,0.9,0.5,0.4,16.8,82,69,
GINABAHAR,22.77,83.97,579,342.24,,,15.8,23.5,30,5.2,1.4,1.6,0.9,1,20.1,69,46,
GONDA,27.13,81.97,110,810.02,1004.9,1001.8,14.5,18.8,26.2,4.6,1,0.9,0.4,0.3,11.6,73,61,
GONDIA,21.47,80.2,313,519.75,980.8,977.4,16.7,25.7,31.4,9.2,1.3,1,0.5,0.3,20.7,70,43,1.8
GOPALPUR,19.27,84.88,17,2.85,1015.1,1011.6,20.6,24.6,30.1,13.8,1.8,1.8,0.6,0.5,7.4,79,73,8.8
GORAKHPUR,26.75,83.37,78,691.94,1007.8,1004.9,11.6,19,27,5.4,2.2,1.6,1.4,0.6,9.9,87,67,2.4
GULBARGA,17.35,76.85,458,377.04,963.6,959.9,19.8,29.4,33.4,12.7,1.4,1.9,0.7,0.8,2.7,60,32,5.2
GULMARG,34.05,74.4,2655,1210.24,737.2,737.3,-5.7,-3.1,5.8,-12.7,5,4.6,3.9,3.4,158.8,80,78,
GUNA,24.65,77.32,478,522.1,962.4,959.7,11.5,22.2,29.2,3,1.8,1.9,0.5,0.6,8.2,70,39,4.7
GURGAON,28.42,77,229,798.23,,,10.1,19.2,25.2,1.9,2.2,2.5,1.5,1.5,15.2,79,50,3.2
GUWAHATI (A) (BHORJAR),26.1,91.58,54,370.76,1011.3,1007.2,15.3,19.3,26.2,7.5,2.3,3.2,1,1,11.5,87,70,2
GWALIOR,26.23,78.25,207,698.09,993.6,990.8,11.3,20.2,27.7,2.4,1.7,2,0.5,0.5,10.7,73,46,3.2
HANAMKONDA,18.02,79.57,269,260.84,985.1,983,21.8,27.5,32.8,12.8,1.5,0.9,0.6,0.3,4.3,77,53,4.3
HARDOI,27.38,80.17,142,927.21,1000.4,997.8,11.2,18.5,25.2,4.8,1.2,1.1,1.2,1.1,17.2,85,63,3.3
HARNAI,17.82,73.1,20,0.66,1011.6,1008.9,23.8,26.5,33,18.3,0.8,0.7,0.1,0,0,58,69,9.7
HASSAN,13,76.15,960,136.78,909.4,906.2,17.7,26.2,29.7,11.2,,,,,0.9,77,41,
HAYULIANG,28.08,96.5,1373,778.71,,,13.5,15.6,22.8,5.9,3.5,3.6,2.4,2.5,97.5,72,76,
HAZARIBAGH,23.98,85.37,611,324.59,948.7,944,15.8,20.6,26.9,4.6,1,1.2,0.8,0.9,14,64,53,6.8
HISSAR,29.17,75.73,221,817.4,991.9,989.6,8.5,18.2,25.7,3,2.8,2.5,1.2,0.6,12.4,86,53,3.8
HONAVAR,14.28,74.45,26,1,1011,1007.5,22.6,29.2,35.3,17.5,1.3,1.2,0.4,0.4,0.4,68,59,5.5
HOSHANGABAD,22.77,77.77,302,501.83,982.2,978.7,14.8,24.6,30.4,7.4,1.4,1.4,0.7,0.6,9.8,68,41,4.6
HUT BAY,10.58,92.55,7,0,1012.5,1010,27.3,27.2,31.5,17.8,4.4,4.5,3.2,3.2,40.8,75,75,13.6
HYDERABAD (A),17.45,78.47,545,275.36,954.3,951,19.1,26.9,32.1,12,2.3,2,1.2,0.9,7.9,73,38,6.3
IDAR,23.83,73.03,219,173.07,991.2,988.5,18.1,25.9,31.7,9.8,0.7,0.8,0,0,0.5,43,28,5.3
IMPHAL/ TULIHAL (A),24.77,93.9,781,334.39,929.9,925.8,11.3,15.7,24.8,0.6,2.4,2.2,1.5,1.3,11.7,77,59,2.8
INDORE,22.72,75.8,567,300.95,951.9,949.2,13.8,24.3,31.1,5.4,1.5,1.6,0.4,0.7,6.5,59,34,6
JABALPUR,23.2,79.95,393,673.45,972.3,969.1,13.5,22.5,30.1,5.6,2.1,2.1,0.8,0.8,19.3,72,48,2.9
JAGDALPUR,19.08,82.03,553,197.79,954.3,950.6,16.4,25.1,31.2,7.2,1.3,2.2,0.3,1,8.5,75,45,2.4
JAIPUR (SANGANER),26.82,75.8,390,584.42,972.4,969.8,11.1,20.4,26.5,3.5,2,2.1,0.5,0.5,7,66,35,3.9
JAISALMER,26.9,70.92,242,397.09,990.1,987.8,9.9,22.2,28.6,2.8,1.5,1.6,0.3,0.3,2.6,60,29,6
JALGAON,21.05,75.57,201,275.81,992.8,989.1,16,28.7,34,6.9,1.4,1.4,0.9,0.9,4,66,36,8
JALORE,25.35,72.62,168,335.82,994.5,991.8,13,23.4,30.4,5.5,0.9,1,0.5,0.5,1.9,60,38,3.2
JALPAIGURI,26.53,88.72,83,464.23,1007.7,1004.5,14,19,26.8,7.3,1.6,1.1,0.7,0.6,8.4,87,71,2
JAMMU,32.67,74.83,367,1170.83,,,9.2,16,23.2,4,3.7,3.6,1.3,1.2,52.4,83,62,4.4
JAMSHEDPUR,22.82,86.18,129,170.37,1002.3,998.5,16.6,23.2,30.3,7.3,1.2,1.2,0.2,0.3,13.2,72,54,3
JAMSHEDPUR (A),22.82,86.18,142,170.37,1001.1,996.9,15.6,22.8,30.5,7,1.6,1.7,0.5,0.5,14.7,73,48,2.7
JASHPURNAGAR,22.88,84.13,779,334.57,929.3,926.3,15.1,20.1,27.1,3.6,1.2,1.3,0.7,0.9,28.9,65,51,2.9
JAWAI BANDH/ERINPURA,25.08,73.08,295,312.05,982.8,980.2,11,22.4,30.4,2.6,2.3,2.4,1.4,1.5,3.4,74,41,2.3
JEUR,18.2,75.2,521,220.66,956.3,952.5,16.7,29.7,34.3,8.4,0.7,1,0.2,0.3,0,65,41,4.3
JHALAWAR,24.53,76.17,321,417.14,981,977.6,12.9,23.4,28.8,4.2,0.3,0.5,0.1,0.1,3.6,69,37,
JHANSI,25.45,78.58,251,676.86,989,986,12.9,21.5,28.5,3.5,1.7,1.9,0.8,0.7,9.2,69,45,
JHARSUGUDA,21.92,84.08,230,290.94,990.6,987,16.7,24.1,30.9,7.9,1.6,2,0.6,0.7,18.5,68,44,4.4
JODHPUR RS/RW,26.3,73.02,217,445.35,991.4,988.4,12.2,23.1,29,5.4,1.8,2,0.4,0.4,4,53,27,6.6
JOSHIMATH,30.55,79.57,1875,1134.52,,,4.8,8.3,16.2,-1.4,2.7,3.6,2,2.8,57.1,58,55,
K. PARAMATHY,10.95,78.08,182,152.32,994.1,990,23.1,29.7,33.4,15.4,3.2,3.6,1.8,2.1,6.3,80,52,3.1
KAILASHAHAR (A),24.32,92,29,181.69,1014.2,1010.6,15.1,20.6,28.5,6.9,1.5,1.6,0.4,0.3,9.2,86,68,2.4
KAKINADA,16.95,82.23,8,2.41,1015.5,1012.1,22.9,25.9,31.7,17.7,2,1.9,0.9,0.6,11.2,77,66,6.9
KALIMPONG,27.07,88.47,1209,528.41,880.2,878.2,14.8,14.5,22.4,6,3.5,4.2,2.6,3.1,15.9,83,84,5
KALINGAPATANAM,18.33,84.13,6,0,1015.5,1012.2,21.3,24.7,30.7,14.5,1.6,1.7,0.4,0.4,2.5,81,71,7.7
KALLAKKURICHCHI,11.73,78.97,127,86.55,1000.6,996.7,22.7,28.4,32.7,16.2,2,2.1,0.8,0.9,4.9,79,53,6.6
KALPA (GL),32.4,78.25,2724,1243.96,,,-2.7,0.8,11,-8.6,3.6,4,1.8,2.2,71.6,55,41,4.5
KANKER,20.27,81.48,402,330.98,971.1,967.5,18.2,25.7,,,0.9,1,0.7,0.6,6.5,61,38,
KANNOD,22.67,76.73,353,395.22,978.2,974.7,14.5,24.7,31.1,6.5,0.7,0.6,0.3,0.2,3.2,68,41,2.8
KANNUR (CANNANORE),11.83,75.33,18,0,1011,1007.3,24.3,29.5,34.8,18.9,2.5,2.4,0.8,0.8,3.9,69,63,5.2
KANPUR_AERO,26.43,80.37,126,873.92,1002.7,1000.1,11.1,19.8,26.9,3.5,2.2,2,0.7,0.5,18.7,84,53,
KANYAKUMARI,8.08,77.5,37,0,1009.1,1005.4,25.5,27.9,32.5,21.6,3.2,3.9,1,1.4,7.5,69,66,18.9
KAPURTHALA,31.33,75.33,228.81,1035.64,,,9,14,22.1,2.1,,,,,23.6,87,74,
KARAIKAL,10.92,79.83,6.95,2.24,1013.7,1010.7,24.3,26.4,29.4,19.5,4.3,4,2.6,2,53.5,84,76,12.3
KARAIKUDI,10.07,78.8,92,40.85,1003.8,999.9,24,28.2,32.3,18.4,2.6,3.4,0.9,1.5,20.6,81,68,6.7
KARNAL,29.7,77.03,249,923.65,987.9,985.7,11.1,18,23.9,3.6,,,,,15.4,78,58,
KARWAR,14.78,74.13,4,0.74,1013.7,1010.2,21.7,29,35,15.9,1.2,1.1,0.2,0.2,0,77,61,5.8
KATRA,33,74.9,1170,1208.42,963.1,963.1,8.2,12,21.4,2.3,3.2,3.5,1.3,1.5,101,73,70,1.6
KEONJHARGARH,21.62,85.58,463,136.91,961.4,958.7,18,21.5,29.6,8.1,1.2,1.3,0.9,0.8,11.4,66,56,2.5
KESHOD (A),21.32,70.32,51,31.83,1010.2,1006.9,15.1,27.9,33.4,7.2,1,1,0.1,0.2,1,55,27,10.9
KHAJURAHO,24.98,79.92,221,775.03,992.4,989.4,12.3,21.3,29.8,3.7,2,1.9,0.7,0.7,20.8,79,46,2.7
KHAMMAM,17.25,80.15,112,159.94,1003.9,999.6,22.3,28.5,31.8,14.3,1.4,0.9,0.6,0.3,4.9,78,48,2.2
KHANDWA,21.83,76.37,318,355.67,979.9,976,15,27.5,33.1,6.4,1.3,1.4,0.2,0.6,5.5,61,32,3.2
KHARGONE,21.82,75.62,251,278.22,986.9,984,15.7,24,33.5,8.2,0.9,0.7,0.1,0.2,4.4,64,50,2.3
KHERI-LAKHIMPUR,27.9,80.8,147,950.96,999.8,996.8,11.3,19.6,25.5,5.6,2.6,2.6,1.1,0.8,18.3,85,56,1.7
KHIJRAWAN,22.08,82.15,417,422.86,,,18.3,24.7,31.1,8.4,,,,,16.3,70,45,3.7
KOCHI (COCHIN),9.95,76.27,3,0,1012.7,1008.8,24.8,29.3,33.6,20,2.8,2.5,0.7,0.7,23.3,74,61,3.3
KODAIKANAL,10.23,77.47,2343,132.75,772.6,771.4,12.6,13.7,21.1,5.2,3.7,5.1,1.3,3.4,34.6,55,71,11.2
KOLAR GOLD FIELD,12.95,78.3,882,198.37,917.8,914.6,18.2,24,29.4,12.1,,,,,3,79,47,6.3
KOLHAPUR,16.7,74.23,570,87.05,950.7,947,17.3,28.6,33.3,12,1.2,1.7,0.2,0.6,1.1,71,35,3.9
KOLKATA,22.53,88.33,6,41.17,1016.6,1012.9,17.7,21.9,29.7,10.2,1.4,1.4,0.5,0.3,11.7,75,58,2.6
KOLKATA (DUM DUM),22.65,88.45,6,58.05,1016.4,1012.7,17.8,22,29.5,9,1.5,1.5,0.5,0.4,10.5,74,58,3.5
KONDUL,7.22,93.73,8,0,1011.6,1009.2,29.5,27.3,29.5,22.1,4.7,4.5,3.3,3.2,122.6,83,83,
KORADACHERRY,10.75,79.35,17,46.19,1012.1,1007.2,23.3,27.3,31.9,18.4,2.1,2.2,1.5,1.6,25.1,88,75,2.7
KOTA (A),25.15,75.85,274,438.71,985.8,982.7,13.7,22.1,28.4,7.6,1.5,1.6,0.3,0.4,6.2,61,35,4.9
KOTA (PB-MICROMET),25.18,75.9,273.1,444.85,986.7,983.9,13.4,21.6,28,5.5,1.4,1.5,0.5,0.4,3.9,66,41,4.1
KOTHAGUDEM (BHADRACHALAM),17.55,80.63,111,155.25,1003.4,999.4,20.7,28.4,33.4,12.6,1.5,1.6,1.1,1.1,3.5,81,52,3.3
KOTTAYAM,9.53,76.6,73,31.32,1008.4,1005.1,26.5,29.9,33.8,20,4,4.5,1.8,2,9.7,78,68,3.5
KOZHIKODE (CALICUT),11.25,75.78,5,1.35,1012.9,1009.1,24.3,29.5,33.1,19.9,2.1,2,0.5,0.4,1.6,76,64,9.3
KRISHNANAGAR,23.4,88.52,15,138.69,1013.5,1012.3,17.8,24.3,30.4,7.2,0.2,0.4,0.2,0.4,6.6,71,53,
KUDUMIAMALAI,10.4,78.67,123,67.54,1001.1,996.8,23.5,28.2,32.4,17.4,3.4,4,1.6,1.8,22.2,80,53,8.3
KUKERNAG,33.58,75.5,1011,1282.87,,,-1.5,1.4,9.8,-8.9,5.4,4.9,3.8,3.5,83.8,87,80,2.7
KUPWARA,34.42,74.3,1609,1235.28,,,-1.5,3.8,11.5,-6.8,5.4,4.9,2.6,2.4,87.1,89,75,0.5
KURNOOL,15.83,78.07,281,225.02,983.8,979.6,21.4,29.6,34.2,13.7,1.4,1.8,0.2,0.5,2.6,67,36,2.7
LONG ISLAND,12.42,92.93,25,0,1011.4,1009,27,26.1,31.8,18.2,3.4,3.5,2.2,2.5,29.1,76,78,3.1
LUCKNOW (AMAUSI),26.75,80.88,128,862,1002.2,999.5,10.9,18.9,26.9,3.5,2.1,2.1,0.8,0.6,20.2,86,57,3
LUDHIANA,30.93,75.87,247,1006.95,988.7,986.4,9.6,16.6,22.3,3.3,,,,,23.8,84,63,2.8
LUDHIANA (P.A.U),30.9,75.8,247,1001.48,989.4,987.8,7.7,15.9,22.5,1.8,2.6,2.5,1.1,0.8,20.1,92,65,4.7
LUMDING,25.75,93.18,149,376.04,1000.6,996.8,13.8,21.4,27.2,5.1,0.7,1.1,0.2,0.3,10,87,84,
MADURAI,9.92,78.12,133,95.63,997.7,,25.2,,33.4,18.8,2.2,,0.7,,16.6,78,,6.7
MADURAI (A),9.83,78.08,131,88.18,999.6,995.4,23.4,28.9,32.7,17.5,3,3.3,0.7,1.2,7.4,78,50,8.2
MAHABALESHWAR,17.93,73.67,1382,57.92,865.6,864.2,15.8,21.5,29.2,9.7,1.2,1.3,0.3,0.6,0.5,57,51,10.2
MAHBUBNAGAR,16.75,78,505,269.63,958.6,954.7,21.9,27.8,33,14,1.3,1.5,0.6,0.9,4.4,64,41,6.3
MAHUVA,21.08,71.78,9,1.82,1014.1,1011.2,17.6,26.8,34,11.8,0.7,0.9,0.4,0.5,0.4,60,52,
MAINPURI,27.23,79.05,157,830.24,999.3,997,10.1,19.4,27.4,4,1,0.7,0.4,0.2,7.3,84,67,1.4
MAJBAT,26.75,92.35,120,452.56,1004.8,1001,15.9,19.7,27.1,5.3,2.7,,,,10.2,81,76,
MALANJKHAND,22,80.7,578,533.32,950.5,947.5,14.9,21.9,29,4.7,2.1,2.1,0.8,0.6,26.9,77,52,2.7
MALDA,25.03,88.13,31,312.53,1013.8,1010.7,15.8,21.2,28.2,9,1.3,1.3,0.5,0.6,10.4,72,60,2.3
MALEGAON,20.55,74.53,437,168.43,966,962.4,14.4,28.7,33.4,6.2,1,1,0.5,0.4,3.2,64,31,1.9
MANA (RAIPUR-AP),21.17,81.73,312,398.12,979.9,976.6,18.1,25.1,31.2,9,1.8,1.9,0.5,0.5,15.2,61,42,6.4
MANALI,32.27,77.17,2039,1188.42,,,1.5,6.2,16.6,-7.2,3.9,4.6,1.8,2.1,108.4,75,65,
MANDLA,22.58,80.37,443,606.27,966.7,963.1,14.3,22.1,29.6,3.3,1.7,1.4,1.1,0.7,21.8,74,46,2.2
MANDVI,22.82,69.27,10,0,1014.9,1013,17,23.9,29.3,,,,,,,62,59,
MANDYA,12.5,76.83,695,165.54,937.3,933.5,19.8,27.7,31.4,12.2,,,,,2.9,80,52,3.3
MANGALORE (BAJPE) (A),12.92,74.88,102,6.81,1001.9,998.1,23.5,29,35,18.4,2.1,2.1,0.4,0.5,1.1,72,55,4.7
MANGALORE (PANAMBUR),12.95,74.83,31,2.69,1009.7,1005.9,23.5,28.9,34.6,18.7,1.9,1.7,0.3,0.2,3.1,78,59,7.1
MORMUGAO,15.42,73.78,62,0,1006.7,1003.3,24,28.6,34.5,19.4,1.6,1.5,0.2,0.2,0,70,63,8.6
MASULIPATNAM,16.18,81.13,3,6.97,1015.5,1012.2,22.6,25.8,31.1,17.2,2.3,2.1,1.2,0.8,6.7,85,68,5.9
MATHURA,27.5,77.68,174,755.3,999.3,996.5,12,18,25.5,2.8,1.3,0.9,0.6,0.4,11.9,76,63,
MAYABANDAR,12.92,92.92,28,0,1010.8,1008,25.3,26.4,31.2,19.7,2.9,3.2,2.2,2.4,12.3,82,76,5.9
MEDAK,18.05,78.27,471.8,338.22,963.2,959.2,19.6,27.7,32.3,10.9,1.8,2.1,0.7,0.7,4.4,70,39,2.2
MEDIKERI (MERCARA),12.42,75.73,1152,67.38,890.7,888.2,16.3,23.4,28,9.7,,,,,1.7,83,62,
MEERUT,29.02,77.63,222,887.42,991.5,,10.6,,25.1,3.8,0,,,,19.7,79,,5.4
METTUR DAM,11.8,77.82,250,211.98,986,981.3,23.2,30.1,34.2,17.5,3,3.1,0.7,0.9,4.7,69,38,4.2
MIDNAPORE,22.42,87.32,45,75.3,1012.2,1008.2,19.1,23.1,30,9.4,1.7,1.4,0.2,0.3,9.5,61,50,2.1
MINICOY,8.3,73,2,0,1012.6,1009.6,26.2,28.6,31.8,21.1,3.7,4,2.2,2.4,26.5,81,69,4.9
MORADABAD,28.83,78.75,201.8,936.06,993,990.7,10.7,17,25.3,4.2,1.8,1.5,0.6,0.6,20.2,84,69,
MOTIHARI,26.67,84.92,66,585.59,1009.7,1006.6,14.4,19.3,25.4,5.7,0.9,1.2,0.6,0.5,8.5,80,68,
MUKHIM,30.58,78.48,1981,1078.36,,,7,8.4,17.5,0,3.1,3.4,1.5,1.7,63.8,63,61,
MUKTESHWAR (KUMAUN),29.47,79.65,2311,1046.52,774.3,773.3,5.2,6.1,17.6,-3.7,2.8,3.4,1.2,1.7,48.9,56,64,
MUMBAI (BOMBAY) (SANTA CRUZ),19.12,72.85,15,2.83,1012.9,1009.9,20,26.9,34.5,12.9,1.1,1.1,0.1,0.1,0.2,68,49,6.2
MUMBAI (BOMBAY) (KULABA),18.9,72.82,11,0.16,1013,1010.2,20.7,26,33.9,15.7,1.1,1,0.1,0.1,0.8,77,62,5.7
MUSSOORIE,30.45,78.08,2042,1047.33,803.3,801.8,5.6,6.3,15.9,-0.3,3.5,4.7,2.1,3.2,49.9,69,78,8.7
MUZAFFARNAGAR,29.47,77.73,241,934.77,988.9,986.6,9.1,17.6,24.1,1.8,2.8,2.3,0.6,0,26.6,84,60,
MUZAFFARPUR,26.12,85.4,53,508.12,1011.1,1008,14.4,18.1,26.2,6.4,1.4,1.3,1,0.9,12,84,73,2
MYSORE,12.3,76.7,767,141.93,929.1,925.9,19.4,27.2,30.5,13.6,,,,,1.5,76,45,
NAGAPATTINAM,10.77,79.85,9,0.05,1013.6,1010.4,24.4,26.6,29.4,19.5,4.4,4.1,2.5,1.9,59.9,81,71,12.7
NAGAUR,27.17,73.67,298,548.95,983.5,980,15,22.2,28.6,1.2,1.5,1.5,0.5,0.5,2.3,53,41,
NAGPUR (SONEGAON),21.1,79.05,310,563.8,981,977.2,17.1,25.8,32.2,8.6,1.9,2,0.6,0.8,17.4,67,41,6
NAHAN,30.55,77.3,959,1020.37,910.2,909.2,10.9,13.3,21.4,3.6,,,,,51.9,71,67,
NAJIBABAD,29.62,78.38,270,983.49,986.5,984.3,10.3,18,25.2,3.5,1.8,1.6,1,0.8,26,85,59,
NALGONDA,17,79.25,227,181.66,989.9,,21.3,,33.8,16.1,2,,1.8,,13.5,82,,
NALIYA,23.25,68.85,21,18.43,1014.3,1011.6,12.2,25,31.5,5.2,1.1,1.1,0.4,0.4,1.9,71,37,7
